M1,M2,G1,G2
0,0,25,0
0,2,24.995,-0.005
0,4,24.978,-0.025
0,6,24.95,-0.058
0,8,24.909,-0.105
0,10,24.857,-0.165
0,12,24.791,-0.241
0,14,24.714,-0.331
0,16,24.622,-0.436
0,18,24.518,-0.558
0,20,24.399,-0.696
0,22,24.267,-0.85
0,24,24.12,-1.022
0,26,23.957,-1.21
0,28,23.779,-1.417
0,30,23.587,-1.644
0,32,23.377,-1.889
0,34,23.15,-2.155
0,36,22.908,-2.44
0,38,22.647,-2.746
0,40,22.369,-3.074
0,42,22.074,-3.424
0,44,21.762,-3.795
0,46,21.43,-4.189
0,48,21.081,-4.604
0,50,20.715,-5.042
0,52,20.332,-5.501
0,54,19.931,-5.984
0,56,19.513,-6.487
0,58,19.078,-7.012
0,60,18.628,-7.557
0,62,18.162,-8.123
0,64,17.682,-8.707
0,66,17.189,-9.31
0,68,16.682,-9.93
0,70,16.162,-10.566
0,72,15.632,-11.217
0,74,15.091,-11.882
0,76,14.542,-12.559
0,78,13.983,-13.247
0,80,13.417,-13.946
0,82,12.845,-14.651
0,84,12.268,-15.364
0,86,11.688,-16.083
0,88,11.103,-16.805
0,90,10.515,-17.529
0,92,9.928,-18.254
0,94,9.339,-18.977
0,96,8.753,-19.699
0,98,8.168,-20.416
0,100,7.586,-21.127
0,102,7.009,-21.831
0,104,6.437,-22.526
0,106,5.872,-23.21
0,108,5.316,-23.883
0,110,4.768,-24.541
0,112,4.231,-25.184
0,114,3.705,-25.81
0,116,3.193,-26.416
0,118,2.697,-27.001
0,120,2.219,-27.564
0,122,1.758,-28.102
0,124,1.318,-28.614
0,126,0.9,-29.098
0,128,0.506,-29.552
2,0,24.995,0.005
2,2,24.989,0
2,4,24.973,-0.02
2,6,24.944,-0.052
2,8,24.905,-0.1
2,10,24.851,-0.16
2,12,24.787,-0.236
2,14,24.71,-0.327
2,16,24.618,-0.432
2,18,24.515,-0.555
2,20,24.396,-0.692
2,22,24.264,-0.848
2,24,24.118,-1.019
2,26,23.956,-1.209
2,28,23.779,-1.417
2,30,23.587,-1.644
2,32,23.378,-1.891
2,34,23.152,-2.157
2,36,22.911,-2.444
2,38,22.652,-2.752
2,40,22.375,-3.081
2,42,22.08,-3.432
2,44,21.768,-3.805
2,46,21.439,-4.2
2,48,21.092,-4.618
2,50,20.727,-5.056
2,52,20.344,-5.519
2,54,19.945,-6.002
2,56,19.529,-6.507
2,58,19.096,-7.035
2,60,18.647,-7.583
2,62,18.184,-8.149
2,64,17.705,-8.736
2,66,17.213,-9.341
2,68,16.709,-9.964
2,70,16.192,-10.602
2,72,15.664,-11.255
2,74,15.125,-11.922
2,76,14.579,-12.603
2,78,14.022,-13.293
2,80,13.46,-13.994
2,82,12.89,-14.703
2,84,12.315,-15.418
2,86,11.737,-16.139
2,88,11.155,-16.863
2,90,10.57,-17.589
2,92,9.985,-18.316
2,94,9.399,-19.042
2,96,8.814,-19.766
2,98,8.232,-20.486
2,100,7.653,-21.2
2,102,7.078,-21.907
2,104,6.51,-22.603
2,106,5.947,-23.29
2,108,5.392,-23.965
2,110,4.847,-24.626
2,112,4.311,-25.271
2,114,3.788,-25.899
2,116,3.279,-26.507
2,118,2.785,-27.094
2,120,2.308,-27.659
2,122,1.848,-28.2
2,124,1.409,-28.713
2,126,0.994,-29.198
2,128,0.601,-29.654
4,0,24.978,0.025
4,2,24.973,0.02
4,4,24.956,0
4,6,24.928,-0.033
4,8,24.888,-0.08
4,10,24.836,-0.141
4,12,24.771,-0.218
4,14,24.695,-0.308
4,16,24.603,-0.415
4,18,24.5,-0.537
4,20,24.383,-0.675
4,22,24.252,-0.83
4,24,24.106,-1.003
4,26,23.944,-1.194
4,28,23.768,-1.403
4,30,23.576,-1.631
4,32,23.368,-1.879
4,34,23.144,-2.146
4,36,22.902,-2.435
4,38,22.645,-2.743
4,40,22.368,-3.073
4,42,22.075,-3.425
4,44,21.766,-3.801
4,46,21.437,-4.197
4,48,21.091,-4.615
4,50,20.727,-5.057
4,52,20.347,-5.521
4,54,19.949,-6.007
4,56,19.534,-6.514
4,58,19.102,-7.043
4,60,18.657,-7.592
4,62,18.195,-8.162
4,64,17.718,-8.752
4,66,17.228,-9.359
4,68,16.725,-9.983
4,70,16.21,-10.624
4,72,15.685,-11.28
4,74,15.148,-11.95
4,76,14.603,-12.632
4,78,14.05,-13.326
4,80,13.49,-14.029
4,82,12.923,-14.74
4,84,12.35,-15.457
4,86,11.774,-16.181
4,88,11.194,-16.907
4,90,10.614,-17.637
4,92,10.03,-18.366
4,94,9.447,-19.096
4,96,8.865,-19.822
4,98,8.286,-20.544
4,100,7.709,-21.26
4,102,7.137,-21.969
4,104,6.57,-22.669
4,106,6.009,-23.358
4,108,5.457,-24.035
4,110,4.914,-24.698
4,112,4.381,-25.345
4,114,3.86,-25.975
4,116,3.353,-26.585
4,118,2.861,-27.175
4,120,2.385,-27.742
4,122,1.927,-28.284
4,124,1.491,-28.8
4,126,1.075,-29.287
4,128,0.684,-29.744
6,0,24.95,0.058
6,2,24.944,0.052
6,4,24.928,0.033
6,6,24.901,0
6,8,24.861,-0.047
6,10,24.809,-0.108
6,12,24.745,-0.185
6,14,24.667,-0.276
6,16,24.577,-0.383
6,18,24.475,-0.505
6,20,24.358,-0.644
6,22,24.227,-0.799
6,24,24.081,-0.973
6,26,23.921,-1.165
6,28,23.746,-1.375
6,30,23.554,-1.603
6,32,23.347,-1.852
6,34,23.123,-2.121
6,36,22.883,-2.409
6,38,22.626,-2.72
6,40,22.352,-3.051
6,42,22.06,-3.406
6,44,21.751,-3.781
6,46,21.424,-4.179
6,48,21.079,-4.6
6,50,20.716,-5.043
6,52,20.337,-5.509
6,54,19.941,-5.997
6,56,19.528,-6.506
6,58,19.098,-7.037
6,60,18.654,-7.589
6,62,18.193,-8.161
6,64,17.719,-8.753
6,66,17.231,-9.362
6,68,16.731,-9.989
6,70,16.218,-10.633
6,72,15.693,-11.291
6,74,15.161,-11.963
6,76,14.617,-12.647
6,78,14.066,-13.344
6,80,13.507,-14.05
6,82,12.943,-14.764
6,84,12.373,-15.483
6,86,11.799,-16.21
6,88,11.223,-16.939
6,90,10.644,-17.671
6,92,10.063,-18.404
6,94,9.484,-19.135
6,96,8.904,-19.864
6,98,8.327,-20.588
6,100,7.753,-21.307
6,102,7.183,-22.018
6,104,6.617,-22.72
6,106,6.06,-23.413
6,108,5.511,-24.092
6,110,4.969,-24.757
6,112,4.438,-25.406
6,114,3.92,-26.039
6,116,3.414,-26.651
6,118,2.925,-27.243
6,120,2.451,-27.813
6,122,1.995,-28.356
6,124,1.561,-28.875
6,126,1.146,-29.363
6,128,0.756,-29.823
8,0,24.909,0.105
8,2,24.905,0.1
8,4,24.888,0.08
8,6,24.861,0.047
8,8,24.821,0
8,10,24.77,-0.061
8,12,24.706,-0.138
8,14,24.629,-0.229
8,16,24.541,-0.336
8,18,24.437,-0.459
8,20,24.321,-0.598
8,22,24.19,-0.755
8,24,24.046,-0.929
8,26,23.886,-1.12
8,28,23.712,-1.331
8,30,23.521,-1.561
8,32,23.314,-1.81
8,34,23.092,-2.08
8,36,22.853,-2.37
8,38,22.597,-2.682
8,40,22.323,-3.014
8,42,22.033,-3.37
8,44,21.723,-3.747
8,46,21.398,-4.147
8,48,21.054,-4.569
8,50,20.694,-5.015
8,52,20.315,-5.482
8,54,19.921,-5.972
8,56,19.51,-6.483
8,58,19.082,-7.017
8,60,18.639,-7.571
8,62,18.18,-8.145
8,64,17.708,-8.739
8,66,17.221,-9.351
8,68,16.723,-9.98
8,70,16.213,-10.626
8,72,15.691,-11.287
8,74,15.159,-11.962
8,76,14.618,-12.65
8,78,14.07,-13.347
8,80,13.514,-14.056
8,82,12.951,-14.773
8,84,12.384,-15.497
8,86,11.813,-16.225
8,88,11.238,-16.957
8,90,10.661,-17.692
8,92,10.085,-18.427
8,94,9.507,-19.16
8,96,8.929,-19.892
8,98,8.355,-20.618
8,100,7.783,-21.34
8,102,7.216,-22.054
8,104,6.654,-22.759
8,106,6.098,-23.453
8,108,5.55,-24.136
8,110,5.012,-24.803
8,112,4.484,-25.455
8,114,3.968,-26.089
8,116,3.465,-26.705
8,118,2.975,-27.299
8,120,2.504,-27.869
8,122,2.051,-28.415
8,124,1.617,-28.936
8,126,1.205,-29.427
8,128,0.816,-29.887
10,0,24.857,0.165
10,2,24.851,0.16
10,4,24.836,0.141
10,6,24.809,0.108
10,8,24.77,0.061
10,10,24.719,0
10,12,24.655,-0.077
10,14,24.579,-0.167
10,16,24.49,-0.275
10,18,24.388,-0.398
10,20,24.272,-0.538
10,22,24.143,-0.694
10,24,23.998,-0.869
10,26,23.84,-1.062
10,28,23.666,-1.273
10,30,23.476,-1.503
10,32,23.27,-1.753
10,34,23.048,-2.024
10,36,22.81,-2.315
10,38,22.555,-2.628
10,40,22.282,-2.963
10,42,21.993,-3.319
10,44,21.685,-3.698
10,46,21.361,-4.099
10,48,21.019,-4.524
10,50,20.659,-4.971
10,52,20.283,-5.44
10,54,19.889,-5.931
10,56,19.48,-6.445
10,58,19.053,-6.981
10,60,18.612,-7.537
10,62,18.155,-8.114
10,64,17.685,-8.71
10,66,17.2,-9.324
10,68,16.703,-9.956
10,70,16.195,-10.604
10,72,15.674,-11.268
10,74,15.146,-11.946
10,76,14.607,-12.635
10,78,14.061,-13.338
10,80,13.506,-14.048
10,82,12.947,-14.767
10,84,12.381,-15.493
10,86,11.813,-16.225
10,88,11.241,-16.96
10,90,10.667,-17.697
10,92,10.092,-18.434
10,94,9.516,-19.171
10,96,8.943,-19.905
10,98,8.37,-20.635
10,100,7.8,-21.359
10,102,7.236,-22.076
10,104,6.676,-22.784
10,106,6.123,-23.48
10,108,5.577,-24.164
10,110,5.042,-24.834
10,112,4.516,-25.489
10,114,4.002,-26.126
10,116,3.5,-26.743
10,118,3.015,-27.339
10,120,2.545,-27.912
10,122,2.094,-28.461
10,124,1.661,-28.983
10,126,1.251,-29.476
10,128,0.864,-29.939
12,0,24.791,0.241
12,2,24.787,0.236
12,4,24.771,0.218
12,6,24.745,0.185
12,8,24.706,0.138
12,10,24.655,0.077
12,12,24.592,0
12,14,24.516,-0.092
12,16,24.429,-0.199
12,18,24.327,-0.323
12,20,24.212,-0.463
12,22,24.083,-0.619
12,24,23.94,-0.794
12,26,23.781,-0.988
12,28,23.607,-1.199
12,30,23.419,-1.431
12,32,23.214,-1.681
12,34,22.994,-1.953
12,36,22.755,-2.245
12,38,22.502,-2.559
12,40,22.23,-2.895
12,42,21.941,-3.253
12,44,21.635,-3.633
12,46,21.312,-4.036
12,48,20.971,-4.462
12,50,20.613,-4.911
12,52,20.238,-5.382
12,54,19.845,-5.875
12,56,19.436,-6.392
12,58,19.012,-6.929
12,60,18.572,-7.487
12,62,18.117,-8.067
12,64,17.648,-8.665
12,66,17.166,-9.282
12,68,16.671,-9.917
12,70,16.164,-10.568
12,72,15.646,-11.234
12,74,15.118,-11.915
12,76,14.583,-12.607
12,78,14.037,-13.311
12,80,13.487,-14.024
12,82,12.929,-14.746
12,84,12.366,-15.476
12,86,11.799,-16.21
12,88,11.23,-16.948
12,90,10.659,-17.687
12,92,10.086,-18.428
12,94,9.512,-19.167
12,96,8.941,-19.904
12,98,8.371,-20.637
12,100,7.804,-21.363
12,102,7.242,-22.083
12,104,6.685,-22.793
12,106,6.135,-23.493
12,108,5.591,-24.179
12,110,5.058,-24.852
12,112,4.533,-25.508
12,114,4.022,-26.147
12,116,3.523,-26.767
12,118,3.039,-27.365
12,120,2.572,-27.941
12,122,2.122,-28.492
12,124,1.691,-29.016
12,126,1.283,-29.51
12,128,0.898,-29.975
14,0,24.714,0.331
14,2,24.71,0.327
14,4,24.695,0.308
14,6,24.667,0.276
14,8,24.629,0.229
14,10,24.579,0.167
14,12,24.516,0.092
14,14,24.441,0
14,16,24.354,-0.107
14,18,24.253,-0.231
14,20,24.139,-0.371
14,22,24.01,-0.528
14,24,23.867,-0.704
14,26,23.711,-0.897
14,28,23.538,-1.11
14,30,23.349,-1.342
14,32,23.145,-1.594
14,34,22.926,-1.866
14,36,22.688,-2.159
14,38,22.436,-2.474
14,40,22.165,-2.811
14,42,21.877,-3.171
14,44,21.572,-3.552
14,46,21.25,-3.957
14,48,20.911,-4.385
14,50,20.554,-4.834
14,52,20.179,-5.308
14,54,19.788,-5.803
14,56,19.382,-6.322
14,58,18.958,-6.861
14,60,18.519,-7.422
14,62,18.066,-8.004
14,64,17.599,-8.604
14,66,17.118,-9.224
14,68,16.624,-9.861
14,70,16.12,-10.515
14,72,15.604,-11.184
14,74,15.079,-11.867
14,76,14.544,-12.562
14,78,14.002,-13.269
14,80,13.453,-13.985
14,82,12.897,-14.71
14,84,12.336,-15.442
14,86,11.772,-16.179
14,88,11.205,-16.919
14,90,10.635,-17.662
14,92,10.066,-18.405
14,94,9.495,-19.147
14,96,8.925,-19.887
14,98,8.358,-20.623
14,100,7.794,-21.351
14,102,7.233,-22.074
14,104,6.679,-22.786
14,106,6.131,-23.488
14,108,5.59,-24.177
14,110,5.058,-24.853
14,112,4.537,-25.511
14,114,4.028,-26.153
14,116,3.532,-26.776
14,118,3.049,-27.376
14,120,2.583,-27.954
14,122,2.136,-28.506
14,124,1.708,-29.032
14,126,1.3,-29.53
14,128,0.917,-29.996
16,0,24.622,0.436
16,2,24.618,0.432
16,4,24.603,0.415
16,6,24.577,0.383
16,8,24.541,0.336
16,10,24.49,0.275
16,12,24.429,0.199
16,14,24.354,0.107
16,16,24.267,0
16,18,24.166,-0.124
16,20,24.053,-0.264
16,22,23.925,-0.422
16,24,23.783,-0.597
16,26,23.626,-0.791
16,28,23.454,-1.004
16,30,23.268,-1.237
16,32,23.065,-1.49
16,34,22.845,-1.762
16,36,22.609,-2.057
16,38,22.357,-2.373
16,40,22.087,-2.711
16,42,21.801,-3.071
16,44,21.497,-3.455
16,46,21.175,-3.861
16,48,20.837,-4.289
16,50,20.482,-4.742
16,52,20.108,-5.217
16,54,19.718,-5.715
16,56,19.312,-6.235
16,58,18.891,-6.777
16,60,18.454,-7.34
16,62,18.001,-7.924
16,64,17.536,-8.526
16,66,17.056,-9.149
16,68,16.564,-9.789
16,70,16.061,-10.445
16,72,15.548,-11.116
16,74,15.024,-11.802
16,76,14.491,-12.501
16,78,13.95,-13.21
16,80,13.404,-13.929
16,82,12.85,-14.657
16,84,12.291,-15.392
16,86,11.73,-16.131
16,88,11.164,-16.875
16,90,10.597,-17.619
16,92,10.029,-18.365
16,94,9.462,-19.111
16,96,8.895,-19.853
16,98,8.329,-20.591
16,100,7.768,-21.324
16,102,7.21,-22.048
16,104,6.657,-22.763
16,106,6.112,-23.467
16,108,5.573,-24.16
16,110,5.044,-24.838
16,112,4.525,-25.499
16,114,4.018,-26.143
16,116,3.523,-26.767
16,118,3.044,-27.371
16,120,2.58,-27.95
16,122,2.134,-28.505
16,124,1.708,-29.032
16,126,1.303,-29.532
16,128,0.921,-30
18,0,24.518,0.558
18,2,24.515,0.555
18,4,24.5,0.537
18,6,24.475,0.505
18,8,24.437,0.459
18,10,24.388,0.398
18,12,24.327,0.323
18,14,24.253,0.231
18,16,24.166,0.124
18,18,24.066,0
18,20,23.953,-0.14
18,22,23.826,-0.299
18,24,23.685,-0.475
18,26,23.529,-0.668
18,28,23.359,-0.882
18,30,23.172,-1.114
18,32,22.971,-1.368
18,34,22.751,-1.642
18,36,22.517,-1.937
18,38,22.266,-2.254
18,40,21.996,-2.593
18,42,21.711,-2.955
18,44,21.409,-3.34
18,46,21.088,-3.747
18,48,20.75,-4.178
18,50,20.396,-4.632
18,52,20.024,-5.109
18,54,19.635,-5.608
18,56,19.23,-6.13
18,58,18.809,-6.675
18,60,18.373,-7.24
18,62,17.923,-7.826
18,64,17.459,-8.431
18,66,16.982,-9.057
18,68,16.491,-9.699
18,70,15.989,-10.357
18,72,15.477,-11.032
18,74,14.955,-11.72
18,76,14.425,-12.421
18,78,13.885,-13.133
18,80,13.34,-13.856
18,82,12.789,-14.587
18,84,12.233,-15.324
18,86,11.673,-16.065
18,88,11.11,-16.812
18,90,10.544,-17.56
18,92,9.978,-18.31
18,94,9.413,-19.057
18,96,8.847,-19.802
18,98,8.284,-20.543
18,100,7.725,-21.278
18,102,7.169,-22.005
18,104,6.62,-22.723
18,106,6.076,-23.43
18,108,5.541,-24.125
18,110,5.013,-24.805
18,112,4.497,-25.469
18,114,3.991,-26.115
18,116,3.499,-26.742
18,118,3.022,-27.347
18,120,2.56,-27.929
18,122,2.115,-28.485
18,124,1.691,-29.015
18,126,1.288,-29.515
18,128,0.908,-29.986
20,0,24.399,0.696
20,2,24.396,0.692
20,4,24.383,0.675
20,6,24.358,0.644
20,8,24.321,0.598
20,10,24.272,0.538
20,12,24.212,0.463
20,14,24.139,0.371
20,16,24.053,0.264
20,18,23.953,0.14
20,20,23.841,0
20,22,23.715,-0.157
20,24,23.574,-0.334
20,26,23.419,-0.528
20,28,23.249,-0.743
20,30,23.063,-0.976
20,32,22.861,-1.229
20,34,22.645,-1.504
20,36,22.41,-1.8
20,38,22.16,-2.118
20,40,21.892,-2.459
20,42,21.608,-2.822
20,44,21.305,-3.207
20,46,20.986,-3.616
20,48,20.649,-4.049
20,50,20.295,-4.504
20,52,19.924,-4.983
20,54,19.537,-5.484
20,56,19.134,-6.009
20,58,18.714,-6.555
20,60,18.279,-7.122
20,62,17.831,-7.711
20,64,17.367,-8.319
20,66,16.89,-8.945
20,68,16.402,-9.591
20,70,15.902,-10.252
20,72,15.391,-10.929
20,74,14.87,-11.62
20,76,14.341,-12.324
20,78,13.804,-13.039
20,80,13.261,-13.764
20,82,12.711,-14.497
20,84,12.157,-15.237
20,86,11.598,-15.982
20,88,11.038,-16.731
20,90,10.475,-17.483
20,92,9.91,-18.234
20,94,9.346,-18.984
20,96,8.784,-19.732
20,98,8.223,-20.476
20,100,7.665,-21.213
20,102,7.113,-21.943
20,104,6.566,-22.664
20,106,6.023,-23.373
20,108,5.49,-24.07
20,110,4.965,-24.752
20,112,4.45,-25.42
20,114,3.947,-26.068
20,116,3.457,-26.697
20,118,2.981,-27.304
20,120,2.522,-27.888
20,122,2.08,-28.447
20,124,1.657,-28.978
20,126,1.255,-29.48
20,128,0.878,-29.953
22,0,24.267,0.85
22,2,24.264,0.848
22,4,24.252,0.83
22,6,24.227,0.799
22,8,24.19,0.755
22,10,24.143,0.694
22,12,24.083,0.619
22,14,24.01,0.528
22,16,23.925,0.422
22,18,23.826,0.299
22,20,23.715,0.157
22,22,23.589,0
22,24,23.449,-0.176
22,26,23.295,-0.371
22,28,23.126,-0.585
22,30,22.941,-0.819
22,32,22.74,-1.073
22,34,22.523,-1.349
22,36,22.29,-1.645
22,38,22.041,-1.964
22,40,21.774,-2.306
22,42,21.49,-2.669
22,44,21.189,-3.056
22,46,20.87,-3.466
22,48,20.535,-3.9
22,50,20.182,-4.357
22,52,19.811,-4.837
22,54,19.425,-5.342
22,56,19.022,-5.868
22,58,18.603,-6.416
22,60,18.17,-6.985
22,62,17.722,-7.576
22,64,17.26,-8.187
22,66,16.785,-8.816
22,68,16.297,-9.464
22,70,15.798,-10.128
22,72,15.289,-10.808
22,74,14.769,-11.501
22,76,14.242,-12.208
22,78,13.706,-12.925
22,80,13.165,-13.653
22,82,12.617,-14.389
22,84,12.064,-15.131
22,86,11.508,-15.879
22,88,10.949,-16.632
22,90,10.387,-17.385
22,92,9.826,-18.14
22,94,9.263,-18.892
22,96,8.703,-19.643
22,98,8.144,-20.39
22,100,7.589,-21.129
22,102,7.037,-21.862
22,104,6.492,-22.585
22,106,5.952,-23.297
22,108,5.421,-23.997
22,110,4.899,-24.681
22,112,4.385,-25.35
22,114,3.885,-26
22,116,3.397,-26.631
22,118,2.922,-27.242
22,120,2.464,-27.827
22,122,2.025,-28.388
22,124,1.604,-28.922
22,126,1.204,-29.426
22,128,0.827,-29.898
24,0,24.12,1.022
24,2,24.118,1.019
24,4,24.106,1.003
24,6,24.081,0.973
24,8,24.046,0.929
24,10,23.998,0.869
24,12,23.94,0.794
24,14,23.867,0.704
24,16,23.783,0.597
24,18,23.685,0.475
24,20,23.574,0.334
24,22,23.449,0.176
24,24,23.31,0
24,26,23.157,-0.195
24,28,22.988,-0.409
24,30,22.804,-0.643
24,32,22.604,-0.898
24,34,22.389,-1.174
24,36,22.157,-1.471
24,38,21.907,-1.79
24,40,21.642,-2.133
24,42,21.358,-2.498
24,44,21.057,-2.886
24,46,20.739,-3.297
24,48,20.405,-3.733
24,50,20.052,-4.192
24,52,19.684,-4.673
24,54,19.299,-5.179
24,56,18.897,-5.707
24,58,18.478,-6.258
24,60,18.046,-6.83
24,62,17.599,-7.423
24,64,17.137,-8.035
24,66,16.664,-8.668
24,68,16.177,-9.317
24,70,15.678,-9.984
24,72,15.17,-10.666
24,74,14.654,-11.362
24,76,14.126,-12.071
24,78,13.592,-12.792
24,80,13.052,-13.522
24,82,12.505,-14.261
24,84,11.953,-15.007
24,86,11.399,-15.757
24,88,10.841,-16.511
24,90,10.282,-17.268
24,92,9.722,-18.025
24,94,9.162,-18.781
24,96,8.603,-19.533
24,98,8.046,-20.283
24,100,7.492,-21.025
24,102,6.943,-21.76
24,104,6.399,-22.485
24,106,5.862,-23.199
24,108,5.332,-23.902
24,110,4.811,-24.588
24,112,4.3,-25.259
24,114,3.801,-25.912
24,116,3.315,-26.545
24,118,2.843,-27.156
24,120,2.388,-27.745
24,122,1.949,-28.307
24,124,1.531,-28.842
24,126,1.133,-29.348
24,128,0.756,-29.823
26,0,23.957,1.21
26,2,23.956,1.209
26,4,23.944,1.194
26,6,23.921,1.165
26,8,23.886,1.12
26,10,23.84,1.062
26,12,23.781,0.988
26,14,23.711,0.897
26,16,23.626,0.791
26,18,23.529,0.668
